sequence,raw_data_dir,study_dir,regime,factor,iteration_policy,selected_iteration_status,pc_ply,pc_ply_exists,pc_primitive_count,pc_file_size_mib,gs_ply,gs_ply_exists,gs_primitive_count,gs_file_size_mib,pc_video,pc_video_exists,pc_video_size_mib,gs_video,gs_video_exists,gs_video_size_mib
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_NoP,original,original 10k,10k selected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_original.ply,True,2708740,69.748,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_pilot_steps/original/ply/point_cloud_9999.ply,True,2708740,609.65,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_original_pointcloud.mp4,True,3.209,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_original_3dgs.mp4,True,2.142
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_NoP,4x,4x 20k,20k selected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_downsample_4x.ply,True,677185,17.437,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP/4x/ply/point_cloud_19999.ply,True,677185,152.413,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_4x_pointcloud.mp4,True,3.335,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_4x_3dgs.mp4,True,1.988
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_NoP,32x,32x 30k,30k selected/expected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_downsample_32x.ply,True,84648,2.18,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP/32x/ply/point_cloud_19999.ply,True,84648,19.053,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_32x_pointcloud.mp4,True,6.769,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_32x_3dgs.mp4,True,1.449
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_NoP,256x,256x 30k,30k selected/expected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_downsample_256x.ply,True,10581,0.273,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_30k/256x/ply/point_cloud_29999.ply,True,10581,2.383,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_256x_pointcloud.mp4,True,7.586,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_256x_3dgs.mp4,True,1.048
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_file_size,4x,4x 30k,30k selected/expected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_file_size/frame518_samesize_4x.ply,True,77475,1.995,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_file_size/4x/ply/point_cloud_29999.ply,True,77475,17.438,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_4x_pointcloud.mp4,True,8.12,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_4x_3dgs.mp4,True,1.656
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_file_size,32x,32x 30k,30k selected/expected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_file_size/frame518_samesize_32x.ply,True,9684,0.25,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_file_size/32x/ply/point_cloud_29999.ply,True,9684,2.181,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_32x_pointcloud.mp4,True,7.349,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_32x_3dgs.mp4,True,1.052
BouncingBlue,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/BouncingBlue_frame00518_downsampling_study,same_file_size,256x,256x 30k,30k selected/expected,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_file_size/frame518_samesize_256x.ply,True,1211,0.031,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_file_size/256x/ply/point_cloud_29999.ply,True,1211,0.274,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_256x_pointcloud.mp4,True,4.123,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_256x_3dgs.mp4,True,0.862
Sign_take2,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study,same_NoP,original,original 10k,10k selected,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/initial_pcds/frame00503_original.ply,True,2288337,58.923,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_pilot_steps/original/ply/point_cloud_9999.ply,True,2288337,515.031,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_original_pointcloud.mp4,True,2.922,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_original_3dgs.mp4,True,1.548
Sign_take2,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study,same_NoP,4x,4x 20k,20k selected,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/initial_pcds/frame00503_downsample_4x.ply,True,572084,14.731,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_pilot_steps/4x/ply/point_cloud_19999.ply,True,572084,128.759,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_4x_pointcloud.mp4,True,3.041,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_4x_3dgs.mp4,True,1.607
Sign_take2,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study,same_NoP,32x,32x 30k,30k selected/expected,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/initial_pcds/frame00503_downsample_32x.ply,True,71510,1.841,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_30k/32x/ply/point_cloud_29999.ply,True,71510,16.096,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_32x_pointcloud.mp4,True,6.892,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_32x_3dgs.mp4,True,1.168
