trial_id,sequence,criterion,regime,pair_description,pc_factor,gs_factor,pc_video,gs_video,pc_size_mb,gs_size_mb,pc_primitive_count,gs_primitive_count,source_pc_video,source_gs_video,source_pc_ply,source_gs_ply
final_001,BouncingBlue,same primitive count,same_NoP,BouncingBlue same_NoP: PC original vs 3DGS original,original,original,videos/BouncingBlue_frame00518_same_NoP_original_pointcloud.mp4,videos/BouncingBlue_frame00518_same_NoP_original_3dgs.mp4,69.748,609.65,2708740,2708740,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_original_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_original_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_original.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_pilot_steps/original/ply/point_cloud_9999.ply
final_002,BouncingBlue,same primitive count,same_NoP,BouncingBlue same_NoP: PC 4x vs 3DGS 4x,4x,4x,videos/BouncingBlue_frame00518_same_NoP_4x_pointcloud.mp4,videos/BouncingBlue_frame00518_same_NoP_4x_3dgs.mp4,17.437,152.413,677185,677185,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_4x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_4x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_downsample_4x.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP/4x/ply/point_cloud_19999.ply
final_003,BouncingBlue,same primitive count,same_NoP,BouncingBlue same_NoP: PC 32x vs 3DGS 32x,32x,32x,videos/BouncingBlue_frame00518_same_NoP_32x_pointcloud.mp4,videos/BouncingBlue_frame00518_same_NoP_32x_3dgs.mp4,2.18,19.053,84648,84648,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_32x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_32x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_downsample_32x.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP/32x/ply/point_cloud_19999.ply
final_004,BouncingBlue,same primitive count,same_NoP,BouncingBlue same_NoP: PC 256x vs 3DGS 256x,256x,256x,videos/BouncingBlue_frame00518_same_NoP_256x_pointcloud.mp4,videos/BouncingBlue_frame00518_same_NoP_256x_3dgs.mp4,0.273,2.383,10581,10581,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_256x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_NoP_256x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_NoP/frame518_downsample_256x.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_30k/256x/ply/point_cloud_29999.ply
final_005,BouncingBlue,same file size,same_file_size,BouncingBlue same_file_size: PC 4x vs 3DGS 4x,4x,4x,videos/BouncingBlue_frame00518_same_file_size_4x_pointcloud.mp4,videos/BouncingBlue_frame00518_same_file_size_4x_3dgs.mp4,1.995,17.438,77475,77475,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_4x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_4x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_file_size/frame518_samesize_4x.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_file_size/4x/ply/point_cloud_29999.ply
final_006,BouncingBlue,same file size,same_file_size,BouncingBlue same_file_size: PC 32x vs 3DGS 32x,32x,32x,videos/BouncingBlue_frame00518_same_file_size_32x_pointcloud.mp4,videos/BouncingBlue_frame00518_same_file_size_32x_3dgs.mp4,0.25,2.181,9684,9684,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_32x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_32x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_file_size/frame518_samesize_32x.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_file_size/32x/ply/point_cloud_29999.ply
final_007,BouncingBlue,same file size,same_file_size,BouncingBlue same_file_size: PC 256x vs 3DGS 256x,256x,256x,videos/BouncingBlue_frame00518_same_file_size_256x_pointcloud.mp4,videos/BouncingBlue_frame00518_same_file_size_256x_3dgs.mp4,0.031,0.274,1211,1211,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_256x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/BouncingBlue_frame00518_same_file_size_256x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/initial_pcds/same_file_size/frame518_samesize_256x.ply,/gpfs/work3/0/prjs0839/data/3DGS/raw_data/BouncingBlue/frame_518_downsampling_study/results/2_mcmc_fixed_no_depth/same_file_size/256x/ply/point_cloud_29999.ply
final_008,Sign_take2,same primitive count,same_NoP,Sign_take2 same_NoP: PC original vs 3DGS original,original,original,videos/Sign_take2_frame00503_same_NoP_original_pointcloud.mp4,videos/Sign_take2_frame00503_same_NoP_original_3dgs.mp4,58.923,515.031,2288337,2288337,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_original_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_original_3dgs.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/initial_pcds/frame00503_original.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_pilot_steps/original/ply/point_cloud_9999.ply
final_009,Sign_take2,same primitive count,same_NoP,Sign_take2 same_NoP: PC 4x vs 3DGS 4x,4x,4x,videos/Sign_take2_frame00503_same_NoP_4x_pointcloud.mp4,videos/Sign_take2_frame00503_same_NoP_4x_3dgs.mp4,14.731,128.759,572084,572084,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_4x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_4x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/initial_pcds/frame00503_downsample_4x.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_pilot_steps/4x/ply/point_cloud_19999.ply
final_010,Sign_take2,same primitive count,same_NoP,Sign_take2 same_NoP: PC 32x vs 3DGS 32x,32x,32x,videos/Sign_take2_frame00503_same_NoP_32x_pointcloud.mp4,videos/Sign_take2_frame00503_same_NoP_32x_3dgs.mp4,1.841,16.096,71510,71510,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_32x_pointcloud.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/pilot_study_5seq_no_mannequin/videos/Sign_take2_frame00503_same_NoP_32x_3dgs.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/initial_pcds/frame00503_downsample_32x.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/2025-04-16-0955_Sign_take2_CIVIT/gsplat_frame00503_downsampling_study/results/2_mcmc_fixed_no_depth/same_NoP_30k/32x/ply/point_cloud_29999.ply
