timestamp,app_version,participant_id,global_trial_index,sequence_trial_index,trial_id,sequence,criterion,regime,pair_description,pc_factor,gs_factor,pc_size_mb,gs_size_mb,pc_primitive_count,gs_primitive_count,left_method,right_method,left_video,right_video,video_a_name,video_b_name,choice_raw,choice_compact,selected_name,chosen_method,preference_3dgs,artifact_tags,time_used_seconds
2026-07-22T22:40:57.728077,pilot,20260722_204900_1,2,1,trial_24_OverallBall_take1_frame00492_same_file_size_4x,OverallBall_take1_frame00492,same file size,same_file_size,OverallBall_take1_frame00492 same_file_size: PC 4x vs 3DGS 4x,4x,4x,1.957,17.11,76015,76015,PC,3DGS,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_file_size_4x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_file_size_4x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_file_size_4x_3dgs_10s.mp4,Video B is better,B,OverallBall_take1_frame00492_same_file_size_4x_3dgs_10s.mp4,3DGS,1,,24.65
2026-07-22T22:41:18.245879,pilot,20260722_204900_1,3,1,trial_29_NelliSport2_frame00589_same_NoP_original,NelliSport2_frame00589,same primitive count,same_NoP,NelliSport2_frame00589 same_NoP: PC original vs 3DGS original,original,original,53.619,468.668,2082341,2082341,3DGS,PC,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_original_3dgs_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_NoP_original_pointcloud_10s.mp4,NelliSport2_frame00589_same_NoP_original_3dgs_10s.mp4,NelliSport2_frame00589_same_NoP_original_pointcloud_10s.mp4,Video B is better,B,NelliSport2_frame00589_same_NoP_original_pointcloud_10s.mp4,PC,0,,18.68
2026-07-23T16:40:11.866686,pilot,20260722_204900_1,4,1,trial_01_BouncingBlue_frame00518_same_NoP_original,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC original vs 3DGS original,original,original,69.748,609.65,2708740,2708740,PC,3DGS,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_3dgs_10s.mp4,BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_original_3dgs_10s.mp4,Video A is better,A,BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,PC,0,,64732.19
2026-07-23T16:40:33.790671,pilot,20260722_204900_1,5,2,trial_06_BouncingBlue_frame00518_same_NoP_256x,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC 256x vs 3DGS 256x,256x,256x,0.273,2.383,10581,10581,PC,3DGS,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,BouncingBlue_frame00518_same_NoP_256x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,Video B is better,B,BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,3DGS,1,,19.59
2026-07-23T16:41:08.269440,pilot,20260722_204900_1,6,3,trial_02_BouncingBlue_frame00518_same_NoP_4x,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC 4x vs 3DGS 4x,4x,4x,17.437,152.413,677185,677185,PC,3DGS,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_3dgs_10s.mp4,BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_NoP_4x_3dgs_10s.mp4,Video A is better,A,BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,PC,0,,32.75
2026-07-23T16:51:40.331997,pilot,20260722_204900_1,7,4,trial_03_BouncingBlue_frame00518_same_file_size_4x,BouncingBlue_frame00518,same file size,same_file_size,BouncingBlue_frame00518 same_file_size: PC 4x vs 3DGS 4x,4x,4x,1.995,17.438,77475,77475,3DGS,PC,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_pointcloud_10s.mp4,BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,BouncingBlue_frame00518_same_file_size_4x_pointcloud_10s.mp4,Video A is better,A,BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,3DGS,1,,630.73
2026-07-23T16:52:35.965126,pilot,20260722_204900_1,8,2,trial_27_OverallBall_take1_frame00492_same_NoP_256x,OverallBall_take1_frame00492,same primitive count,same_NoP,OverallBall_take1_frame00492 same_NoP: PC 256x vs 3DGS 256x,256x,256x,0.267,2.338,10381,10381,PC,3DGS,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/OverallBall_take1/OverallBall_take1_frame00492_same_NoP_256x_3dgs_10s.mp4,OverallBall_take1_frame00492_same_NoP_256x_pointcloud_10s.mp4,OverallBall_take1_frame00492_same_NoP_256x_3dgs_10s.mp4,Video B is better,B,OverallBall_take1_frame00492_same_NoP_256x_3dgs_10s.mp4,3DGS,1,,53.9
2026-07-23T17:19:49.064533,pilot,20260722_204900_1,9,1,trial_18_TicTacToe_take2_frame00586_same_NoP_32x,TicTacToe_take2_frame00586,same primitive count,same_NoP,TicTacToe_take2_frame00586 same_NoP: PC 32x vs 3DGS 32x,32x,32x,3.164,27.652,122857,122857,PC,3DGS,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/TicTacToe_take2/TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,TicTacToe_take2_frame00586_same_NoP_32x_pointcloud_10s.mp4,TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,Video B is better,B,TicTacToe_take2_frame00586_same_NoP_32x_3dgs_10s.mp4,3DGS,1,,1631.75
2026-07-23T17:47:43.876169,pilot,20260722_204900_1,10,2,trial_08_Sign_take2_frame00503_same_NoP_original,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC original vs 3DGS original,original,original,58.923,515.031,2288337,2288337,3DGS,PC,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_original_3dgs_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,Sign_take2_frame00503_same_NoP_original_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,Video B is better,B,Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,PC,0,,1673.28
2026-07-23T17:48:00.765287,pilot,20260722_204900_1,11,3,trial_09_Sign_take2_frame00503_same_NoP_4x,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC 4x vs 3DGS 4x,4x,4x,14.731,128.759,572084,572084,PC,3DGS,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_4x_3dgs_10s.mp4,Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,Sign_take2_frame00503_same_NoP_4x_3dgs_10s.mp4,Video A is better,A,Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,PC,0,,15.65
2026-07-23T17:57:49.004469,pilot,20260722_204900_1,12,2,trial_35_NelliSport2_frame00589_same_file_size_256x,NelliSport2_frame00589,same file size,same_file_size,NelliSport2_frame00589 same_file_size: PC 256x vs 3DGS 256x,256x,256x,0.024,0.211,931,931,3DGS,PC,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_file_size_256x_3dgs_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_file_size_256x_pointcloud_10s.mp4,NelliSport2_frame00589_same_file_size_256x_3dgs_10s.mp4,NelliSport2_frame00589_same_file_size_256x_pointcloud_10s.mp4,Video A is better,A,NelliSport2_frame00589_same_file_size_256x_3dgs_10s.mp4,3DGS,1,,30.14
2026-07-23T17:58:05.640087,pilot,20260722_204900_1,13,3,trial_33_NelliSport2_frame00589_same_file_size_32x,NelliSport2_frame00589,same file size,same_file_size,NelliSport2_frame00589 same_file_size: PC 32x vs 3DGS 32x,32x,32x,0.192,1.677,7445,7445,PC,3DGS,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/NelliSport2/NelliSport2_frame00589_same_file_size_32x_3dgs_10s.mp4,NelliSport2_frame00589_same_file_size_32x_pointcloud_10s.mp4,NelliSport2_frame00589_same_file_size_32x_3dgs_10s.mp4,Video B is better,B,NelliSport2_frame00589_same_file_size_32x_3dgs_10s.mp4,3DGS,1,,15.61
2026-07-23T18:08:33.046989,pilot,20260722_204900_1,14,4,trial_10_Sign_take2_frame00503_same_file_size_4x,Sign_take2_frame00503,same file size,same_file_size,Sign_take2_frame00503 same_file_size: PC 4x vs 3DGS 4x,4x,4x,1.685,14.732,65450,65450,PC,3DGS,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,Sign_take2_frame00503_same_file_size_4x_pointcloud_10s.mp4,Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,Video B is better,B,Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,3DGS,1,,625.97
