trial_id,sequence,criterion,regime,pair_description,pc_factor,gs_factor,pc_video,gs_video,pc_size_mb,gs_size_mb,pc_primitive_count,gs_primitive_count,source_pc_video,source_gs_video,source_pc_ply,source_gs_ply
trial_01_BouncingBlue_frame00518_same_NoP_original,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC original vs 3DGS original,original,original,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_3dgs_10s.mp4,69.748,609.65,2708740,2708740,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_original_3dgs.ply
trial_02_BouncingBlue_frame00518_same_NoP_4x,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC 4x vs 3DGS 4x,4x,4x,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_3dgs_10s.mp4,17.437,152.413,677185,677185,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_4x_3dgs.ply
trial_03_BouncingBlue_frame00518_same_file_size_4x,BouncingBlue_frame00518,same file size,same_file_size,BouncingBlue_frame00518 same_file_size: PC 4x vs 3DGS 4x,4x,4x,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,1.995,17.438,77475,77475,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_file_size_4x_3dgs.ply
trial_04_BouncingBlue_frame00518_same_NoP_32x,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC 32x vs 3DGS 32x,32x,32x,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,2.18,19.053,84648,84648,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_32x_3dgs.ply
trial_05_BouncingBlue_frame00518_same_file_size_32x,BouncingBlue_frame00518,same file size,same_file_size,BouncingBlue_frame00518 same_file_size: PC 32x vs 3DGS 32x,32x,32x,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,0.25,2.181,9684,9684,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_file_size_32x_3dgs.ply
trial_06_BouncingBlue_frame00518_same_NoP_256x,BouncingBlue_frame00518,same primitive count,same_NoP,BouncingBlue_frame00518 same_NoP: PC 256x vs 3DGS 256x,256x,256x,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,0.273,2.383,10581,10581,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_NoP_256x_3dgs.ply
trial_07_BouncingBlue_frame00518_same_file_size_256x,BouncingBlue_frame00518,same file size,same_file_size,BouncingBlue_frame00518 same_file_size: PC 256x vs 3DGS 256x,256x,256x,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,0.031,0.274,1211,1211,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_pointcloud_10s.mp4,videos/real_sequences/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/BouncingBlue/BouncingBlue_frame00518_same_file_size_256x_3dgs.ply
trial_08_Sign_take2_frame00503_same_NoP_original,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC original vs 3DGS original,original,original,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_original_3dgs_10s.mp4,58.923,515.031,2288337,2288337,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_original_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_original_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_NoP_original_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_NoP_original_3dgs.ply
trial_09_Sign_take2_frame00503_same_NoP_4x,Sign_take2_frame00503,same primitive count,same_NoP,Sign_take2_frame00503 same_NoP: PC 4x vs 3DGS 4x,4x,4x,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_4x_3dgs_10s.mp4,14.731,128.759,572084,572084,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_4x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_NoP_4x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_NoP_4x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_NoP_4x_3dgs.ply
trial_10_Sign_take2_frame00503_same_file_size_4x,Sign_take2_frame00503,same file size,same_file_size,Sign_take2_frame00503 same_file_size: PC 4x vs 3DGS 4x,4x,4x,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,1.685,14.732,65450,65450,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_4x_pointcloud_10s.mp4,videos/real_sequences/Sign_take2/Sign_take2_frame00503_same_file_size_4x_3dgs_10s.mp4,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/pointcloud/real/Sign_take2/Sign_take2_frame00503_same_file_size_4x_pointcloud.ply,/gpfs/work3/0/prjs0839/data/IEEEVR2026/real_study_final/deploy_package_10s_unity/plys/3dgs/real/Sign_take2/Sign_take2_frame00503_same_file_size_4x_3dgs.ply
